country,region,subregion,population,population growth,area,GDP(PPP) per capita,Gini,Ethnic Fractionalization,Linguistic Fractionalization,Religious Fractionalization,cannabis,cigarettes,alcohol,MF ratio (birth),MF ratio (lt15),MF ratio 15-64,M/F >65,MF in population
El Salvador,Latin America and Caribbean,Central America,6340454,0.00657,21040,7316,47.6,0.1978,0,0.3559,0.4,209,3.61,1.05,1.05,0.89,0.81,0.93
Equatorial Guinea,Africa,Middle Africa,757014,0.02765,28051,26487,NA,0.3467,0.322,0.1195,NA,391,6.08,1.03,1.03,0.97,0.78,0.99
Eritrea,Africa,Eastern Africa,6333135,0.03201,121320,710,NA,0.6524,0.653,0.4253,NA,74,1.54,1.03,1.01,0.96,0.82,0.98
Estonia,Europe,Northern Europe,1287251,-0.00284,45226,21714,33.65,0.5062,0.4944,0.4985,6,1523,15.57,1.063,1.06,0.91,0.49,0.84
Ethiopia,Africa,Eastern Africa,94100756,0.02551,1127127,1256,29.9,0.7235,0.8073,0.6249,2.6,42,4.02,1.03,1,0.96,0.75,0.97
Faroe Islands,Europe,Northern Europe,49469,-0.00034,1399,NA,NA,0,0,0.3147,2.2,NA,NA,1.071,1.07,1.15,0.9,1.09
Fiji,Oceania,Melanesia,881065,0.00734,18270,4740,42.8,0.5479,0.5479,0.5682,5.1,530,2.43,1.05,1.04,1,0.81,1
Finland,Europe,Northern Europe,5426323,0.00343,338145,35771,26.85,0.1315,0.1412,0.2531,3.1,671,12.52,1.04,1.04,1.02,0.69,0.96
France,Europe,Western Europe,64291280,0.00547,643427,35295,32.7,0.1032,0.1221,0.4029,8.6,854,13.66,1.051,1.05,1,0.72,0.96
French Guiana,Latin America and Caribbean,South America,249227,0.02483,NA,NA,NA,0,0.1154,0.4959,NA,NA,NA,NA,NA,NA,NA,NA
French Polynesia,Oceania,Polynesia,276831,0.01068,4167,NA,NA,0,0.6078,0.5813,NA,NA,NA,1.05,1.04,1.07,1.02,1.06
Gabon,Africa,Middle Africa,1671711,0.02361,267667,18051,41.5,0.769,0.7821,0.6674,NA,501,9.32,1.03,1.01,1,0.72,0.99
Gambia,Africa,Western Africa,1849285,0.03178,11300,1868,48.75,0.7864,0.8076,0.097,NA,85,3.39,1.03,1.01,0.98,0.98,1
Georgia,Asia,Western Asia,4340895,-0.00387,69700,5842,43.65,0.4923,0.4749,0.6543,2.7,1039,6.4,1.113,1.15,0.93,0.66,0.91
Germany,Europe,Western Europe,82726626,-0.0011,357021,38666,27.65,0.1682,0.1642,0.6571,4.8,1045,12.81,1.055,1.05,1.04,0.72,0.97
Ghana,Africa,Western Africa,25904598,0.02126,239460,3316,41.1,0.6733,0.6731,0.7987,21.5,44,2.97,1.03,1.02,1,0.84,1
Gibraltar,Europe,Southern Europe,29310,0.00069,7,NA,NA,NA,NA,NA,5.2,NA,NA,1.07,1.06,1.02,0.93,1.01
Greece,Europe,Southern Europe,11127990,0.00028,131940,24260,33.65,0.1576,0.03,0.153,1.7,2795,10.75,1.064,1.06,1,0.78,0.96
Greenland,Northern America,South America,56987,0.00256,2166086,NA,NA,0,0.2188,0.4592,7.6,NA,NA,1.051,1.03,1.15,1.05,1.12
Grenada,Latin America and Caribbean,Caribbean,105897,0.00382,344,13549,NA,0.2661,0,0.5898,10.8,229,10.35,1.098,1.05,1.04,0.82,1.02
Guadeloupe,Latin America and Caribbean,Caribbean,465800,0.005,NA,NA,NA,0,0.0933,0.3069,NA,NA,NA,NA,NA,NA,NA,NA
